,part_number,description_x,qty,unit,location,tracking,expiration,lot,available_x,data_available,data_available_flag,part,description_y,uom,onhand,allocated,notavailable,dropship,available_y,onorder,committed,short,Commited_flag
564,PS#10290,44 Gallon Fibre Drum with Lid,14.00,ea,Stock Bin # F24,"Lot#: 10-01-2021
",,"10-01-2021
",1,0,0,PS#10290,44 Gallon Fibre Drum with Lid,ea,14.00,0.00,0.00,0.0,14.00,0.00,0.00,0.00,0
565,PS#10291,1 gram vanilla scented desiccant,"5,000.00",ea,Stock Bin # C38,"Lot#: X
",,"X
",1,0,0,PS#10291,1 gram vanilla scented desiccant,ea,"5,000.00","4,896.00",0.00,0.0,104.00,0.00,0.00,0.00,0
566,PS#10295,TECNOCAP-45-400 Silver/Silver Unishell Lid HS035 Universal Heat Seal Liner,"2,300.00",ea,Stock Bin # C26,"Lot#: 26637-300
",,"26637-300
",1,0,0,PS#10295,TECNOCAP-45-400 Silver/Silver Unishell Lid HS035 Universal Heat Seal Liner,ea,"2,300.00",0.00,0.00,0.0,"2,300.00",0.00,0.00,0.00,0
567,PS#10296,45-400 white lid ribbed sides vented foil seal 2000/case,"12,834.00",ea,Stock Bin # C26,"Lot#: 201905530310
",,"201905530310
",1,0,0,PS#10296,45-400 white lid ribbed sides vented foil seal 2000/case,ea,"12,834.00","24,448.00",0.00,0.0,0.00,0.00,0.00,"11,614.00",0
568,PS#10297,"38-400 White Ribbed, Matte top Lids","2,299.00",ea,Stock Bin # C33,"Lot#: 524703
",,"524703
",1,0,0,PS#10297,"38-400 White Ribbed, Matte top Lids",ea,"13,899.00",0.00,0.00,0.0,"13,899.00",0.00,0.00,0.00,0
569,PS#10297,"38-400 White Ribbed, Matte top Lids","11,600.00",ea,Stock Bin # C33,"Lot#: 4700149339
",,"4700149339
",1,0,0,PS#10297,"38-400 White Ribbed, Matte top Lids",ea,"13,899.00",0.00,0.00,0.0,"13,899.00",0.00,0.00,0.00,0
570,PS#10298,"45-400 Black Smooth Sides Lid, Heat Seal Liner","2,000.00",ea,Stock Bin # C24,"Lot#: 201909546695
",,"201909546695
",1,0,0,PS#10298,"45-400 Black Smooth Sides Lid, Heat Seal Liner",ea,"29,676.00","55,541.00",0.00,0.0,0.00,0.00,0.00,"25,865.00",0
571,PS#10298,"45-400 Black Smooth Sides Lid, Heat Seal Liner","4,000.00",ea,Stock Bin # C24,"Lot#: 202006577289
",,"202006577289
",1,0,0,PS#10298,"45-400 Black Smooth Sides Lid, Heat Seal Liner",ea,"29,676.00","55,541.00",0.00,0.0,0.00,0.00,0.00,"25,865.00",0
572,PS#10298,"45-400 Black Smooth Sides Lid, Heat Seal Liner","1,000.00",ea,Stock Bin # C22,"Lot#: 202109618447
",,"202109618447
",1,0,0,PS#10298,"45-400 Black Smooth Sides Lid, Heat Seal Liner",ea,"29,676.00","55,541.00",0.00,0.0,0.00,0.00,0.00,"25,865.00",0
573,PS#10298,"45-400 Black Smooth Sides Lid, Heat Seal Liner","2,000.00",ea,Stock Bin # C24,"Lot#: 202008583978
",,"202008583978
",1,0,0,PS#10298,"45-400 Black Smooth Sides Lid, Heat Seal Liner",ea,"29,676.00","55,541.00",0.00,0.0,0.00,0.00,0.00,"25,865.00",0
574,PS#10298,"45-400 Black Smooth Sides Lid, Heat Seal Liner","1,300.00",ea,Stock Bin # C33,"Lot#: JR00052283
",,"JR00052283
",1,0,0,PS#10298,"45-400 Black Smooth Sides Lid, Heat Seal Liner",ea,"29,676.00","55,541.00",0.00,0.0,0.00,0.00,0.00,"25,865.00",0
575,PS#10298-Innovative Molding,45-400 Black Smooth Sides Lid Heat Seal Liner,"1,800.00",ea,Stock Bin # C33,"Lot#: JR00052002
",,"JR00052002
",1,0,0,PS#10298-Innovative Molding,45-400 Black Smooth Sides Lid Heat Seal Liner,ea,"1,800.00",0.00,0.00,0.0,"1,800.00",0.00,0.00,0.00,0
576,PS#10301,"Innovative Molding-120-400 Deep Skirt, Fine Ribbed Sides, Black, Venting Heat Induction Lid",400.00,ea,Stock Bin # C26,"Lot#: JR00040502
",,"JR00040502
",1,0,0,PS#10301,"Innovative Molding-120-400 Deep Skirt, Fine Ribbed Sides, Black, Venting Heat Induction Lid",ea,400.00,0.00,0.00,0.0,400.00,0.00,0.00,0.00,0
